$POPS_WORKTREE_ROOT/PoPS-agent-amr-consumer-decomposition	55b99de9132502d6c50e6591f43c52bc83ee8351	refs/heads/agent/decompose-amr-consumers	clean
$POPS_WORKTREE_ROOT/PoPS-agent-amr-program-consumers	07cbe7ac2c1ba6e472349b8a687658a25d56c809	refs/heads/agent/fix-arch-amr-program-consumers	clean
$POPS_WORKTREE_ROOT/PoPS-agent-amr-program-p1	b83db6f7ff92c29def2ae6b3be52851e7b7f25c6	refs/heads/agent/fix-amr-program-coarse-only-p1	clean
$POPS_WORKTREE_ROOT/PoPS-agent-prepared-component-providers	67255596e54cde23fd65cfdb8e4005883fa3db2d	refs/heads/agent/decompose-prepared-component-providers	clean
$POPS_WORKTREE_ROOT/PoPS-ci-role-identity	00f2f2b880b30435b64638c2d9734ccf41dc1f85	refs/heads/integration/ci-role-identity	clean
$POPS_WORKTREE_ROOT/PoPS-final-integration	eb66e283dc2ef02ab7d677461982cd2c7a5abc04	refs/heads/agent/final-integration-clean	untracked-bundle-only
$POPS_WORKTREE_ROOT/PoPS-fix-amr-composite-poisson-link	08a456fe1c5c32801f9cd9f0f8ecd3022aaec55b	refs/heads/agent/fix-amr-composite-poisson-link	clean
$POPS_WORKTREE_ROOT/PoPS-fix-amr-history-remap-authority	6280e37fc4aa832f1cf13160ba4cc5bf51009930	refs/heads/integration/amr-history-remap-authority	clean
$POPS_WORKTREE_ROOT/PoPS-fix-arch-amr-field-install	b0b74c46d0f3b023c438b303bbaedc04732af171	refs/heads/agent/fix-arch-amr-field-install	clean
$POPS_WORKTREE_ROOT/PoPS-fix-arch-nd-system-oracles	499878aae95975a4d2b90e124ecd77f4ab763033	refs/heads/agent/fix-arch-nd-system-oracles	clean
$POPS_WORKTREE_ROOT/PoPS-fix-arch-public-ci	5ff96e3d691dbe89457bc5c2dc01759a2ad6272a	refs/heads/agent/fix-arch-public-ci	clean
$POPS_WORKTREE_ROOT/PoPS-fix-arch-stale-source-oracles	3b8f4256782ffe4f1a219735167a3ef533be72f6	refs/heads/agent/fix-arch-stale-source-oracles	clean
$POPS_WORKTREE_ROOT/PoPS-fix-aux-runtime-bz-nd-count	51bbf85ea0cdf7636daee4709437d73457fd926b	refs/heads/agent/fix-aux-runtime-bz-nd-count	clean
$POPS_WORKTREE_ROOT/PoPS-fix-cmake-header-signature	f7bdeafe138d6ca33f134cb86e8e0c67e5bab5e9	refs/heads/agent/fix-cmake-header-signature	clean
$POPS_WORKTREE_ROOT/PoPS-fix-component-binary-identity-tests	ff19d3682c899a9611d8251cf4285a049620dc4f	refs/heads/agent/fix-component-binary-identity-tests	clean
$POPS_WORKTREE_ROOT/PoPS-fix-m3-rank-parity-catalog	7241d630ab96ccfe9fb2ebfefb512aff4a1bc11a	refs/heads/lot/fix-m3-rank-parity-catalog	clean
$POPS_WORKTREE_ROOT/PoPS-fix-mpi-box-hash-budget-qualification	e17478cb8f52345538b1580bdb46d1064919bdae	refs/heads/agent/fix-mpi-box-hash-budget-qualification	clean
$POPS_WORKTREE_ROOT/PoPS-fix-mpi-cartesian-poisson-lane	1ad2e902a43b2befb2015d55c1c515922ad9bc9d	refs/heads/agent/fix-mpi-cartesian-poisson-lane	clean
$POPS_WORKTREE_ROOT/PoPS-fix-mpi-composite-fac-ctor	91dce06c5d57ab7a0ecbac5bfbdd69e03d2c06d4	refs/heads/agent/fix-mpi-composite-fac-ctor	clean
$POPS_WORKTREE_ROOT/PoPS-fix-mpi-system-solve-fields-provider	0d83a7777ad9adcb02eac4867c02e12c5e4423ed	refs/heads/agent/fix-mpi-system-solve-fields-provider	clean
$POPS_WORKTREE_ROOT/PoPS-fix-mpi-tensor-fac-native-dim	af73b699e9b802a5a8317a6089e3242836c3eefb	refs/heads/agent/fix-mpi-tensor-fac-native-dim	clean
$POPS_WORKTREE_ROOT/PoPS-fix-native-loader-abi	62ad213345cf730bd369a9b214becabcc59682e1	refs/heads/agent/fix-native-loader-function-abi	clean
$POPS_WORKTREE_ROOT/PoPS-fix-native-provider-registration-lifetime	70adc3975080f9419c0a4aa32e216e9a5e777b1c	refs/heads/agent/fix-native-provider-registration-lifetime	clean
$POPS_WORKTREE_ROOT/PoPS-fix-scalar-composite-fac	9835561b4bee9d5a733ac543fcbf2e4c0c8ec18f	refs/heads/agent/fix-scalar-composite-fac	clean
$POPS_WORKTREE_ROOT/PoPS-fix-system-native-capability	6611fc048b881b6bce9abebd029497c343704575	refs/heads/agent/system-native-capability	clean
$POPS_WORKTREE_ROOT/PoPS-fix-tensor-composite-fac	da56eb418511a4ef105431f7f37d8fb6c2d51d84	refs/heads/agent/fix-tensor-composite-fac	clean
$POPS_WORKTREE_ROOT/PoPS-fix-uniform-projection-preflight	df0661846432f01ac0a4b067da80ea8cd5b0caa2	refs/heads/integration/uniform-projection-preflight-fix	clean
$POPS_WORKTREE_ROOT/PoPS-lot-adc757-mpi-python-runner	7a8d0bb1062e7cf76d2293528bf2f37fbe72ab8c	refs/heads/lot/adc757-mpi-python-runner	clean
$POPS_WORKTREE_ROOT/PoPS-lot-cell-temporal-cmake-link	8d61ea4537205fdc41ce3d366e2367b6970c8858	refs/heads/lot/cell-temporal-cmake-link	clean
$POPS_WORKTREE_ROOT/PoPS-lot-cell-temporal-executor	2aefc6f075284f2bf253649d23392a5e34d69b97	refs/heads/lot/cell-temporal-executor	clean
$POPS_WORKTREE_ROOT/PoPS-lot-field-hold-regrid-final	4c44aaf5fd92bd9088ab752f612834e03be8a0b0	refs/heads/lot/field-hold-regrid-final	clean
$POPS_WORKTREE_ROOT/PoPS-lot-fix-coupled-source-build	f2bc3488c197a0af33303a6d20686050b9c530df	refs/heads/lot/fix-coupled-source-build	clean
$POPS_WORKTREE_ROOT/PoPS-lot-fix-native-aux-loader	6797b8d96f2c3e37c816fb14844b8636a5a87004	refs/heads/lot/fix-native-aux-loader	clean
$POPS_WORKTREE_ROOT/PoPS-lot-fix-native-param-overflow	9eebaa9fbb4e52e14eb4faef4e280440169573ce	refs/heads/lot/fix-native-param-overflow	clean
$POPS_WORKTREE_ROOT/PoPS-lot-fix-nd-load-balance-build	b4edeae1c3e53e7e58ae2c115010a2d944789e48	refs/heads/lot/fix-nd-load-balance-build	clean
$POPS_WORKTREE_ROOT/PoPS-lot-fix-nd-topology-build	f4fe97bdfc4a75043a6da4e8918f4b3464cc4f54	refs/heads/lot/fix-nd-topology-build	clean
$POPS_WORKTREE_ROOT/PoPS-lot-fix-nd-translation-schedule-build	266a01a8265793d555089b8f54b23b1329522522	refs/heads/lot/fix-nd-translation-schedule-build	clean
$POPS_WORKTREE_ROOT/PoPS-lot-fix-poisson-fft-build	d189bcea0e6557e8bb35f3cf9b1b49abc38cf78d	refs/heads/lot/fix-poisson-fft-build	clean
